vehicle_id,date,distance_km,driving_duration_min,avg_speed,stop_count,stop_duration_hours,harsh_cornering_count,excessive_idling_duration,idling_ratio
733655,2026-01-22,35.932,76.33333333333333,28.24,4,10.068333333333333,4,0,0.0
795852,2026-01-22,32.148,77.41666666666667,24.92,6,10.054444444444444,1,535,0.11517761033369214
822588,2026-01-22,88.9,231.11666666666667,23.08,13,12.737777777777778,1,6679,0.48164707579144733
821937,2026-01-22,106.653,360.8833333333333,17.73,17,8.803055555555556,0,7106,0.3281762342400591
822011,2026-01-22,92.149,308.9166666666667,18.92,17,11.171111111111111,1,6692,0.3610466684650661
821540,2026-01-22,180.711,413.9,26.2,12,9.599444444444444,2,3771,0.1518482725295965
822333,2026-01-22,23.262,53.63333333333333,26.02,4,13.809722222222222,0,355,0.11031696706028589
822292,2026-01-22,69.009,219.93333333333334,18.83,14,12.910277777777777,0,5836,0.44225522885722945
821509,2026-01-22,177.75,523.7833333333333,20.36,12,7.8213888888888885,1,5052,0.16075349222006555
822389,2026-01-22,174.186,546.65,19.12,26,7.070833333333334,1,11934,0.3638525564803805
795860,2026-01-22,8.683,40.86666666666667,12.75,8,15.466388888888888,0,150,0.061174551386623165
