vehicle_id,date,distance_km,driving_duration_min,avg_speed,stop_count,stop_duration_hours,harsh_cornering_count,excessive_idling_duration,idling_ratio
733655,2026-01-27,15.324,60.56666666666667,15.18,7,19.8,0,744,0.20473307649972483
795852,2026-01-27,87.981,208.83333333333334,25.28,16,17.08861111111111,7,1185,0.0945730247406225
822588,2026-01-27,80.177,204.46666666666667,23.53,11,17.399444444444445,4,6330,0.515976524290838
821937,2026-01-27,231.693,738.8333333333334,18.82,24,8.600277777777778,2,8502,0.19178885630498535
822011,2026-01-27,193.568,580.3833333333333,20.17,20,10.226666666666667,2,3590,0.10309278350515463
821540,2026-01-27,158.233,399.5,23.76,21,14.108055555555556,3,5900,0.2461410095953275
822319,2026-01-27,134.833,339.6,23.82,21,15.23611111111111,3,10596,0.5200235571260307
822333,2026-01-27,11.979,33.733333333333334,21.31,3,11.352222222222222,0,0,0.0
822292,2026-01-27,96.348,392.01666666666665,14.75,21,14.288055555555555,2,4635,0.1970579482164874
821509,2026-01-27,212.988,738.3833333333333,17.31,17,8.463333333333333,1,6451,0.1456109067106065
822389,2026-01-27,163.236,537.35,18.23,24,11.759444444444444,2,8624,0.2674854998294098
821237,2026-01-27,2.851,14.266666666666667,11.99,2,16.8725,0,286,0.3341121495327103
