vehicle_id,date,distance_km,driving_duration_min,avg_speed,stop_count,stop_duration_hours,harsh_cornering_count,excessive_idling_duration,idling_ratio
733655,2026-01-20,24.528,49.85,29.52,5,20.844722222222224,4,0,0.0
795852,2026-01-20,18.442,33.13333333333333,33.4,4,20.00888888888889,2,0,0.0
822588,2026-01-20,44.5,179.73333333333332,14.86,7,17.47888888888889,2,387,0.035886498516320475
821937,2026-01-20,107.436,420.81666666666666,15.32,13,16.689166666666665,0,1975,0.0782209196403818
822011,2026-01-20,5.67,1.3666666666666667,248.93,2,11.998611111111112,0,0,0.0
821540,2026-01-20,22.495,45.8,29.47,3,22.146944444444443,0,1144,0.4163027656477438
822319,2026-01-20,12.244,53.016666666666666,13.86,8,16.587777777777777,0,881,0.27695693178245834
822292,2026-01-20,34.191,142.03333333333333,14.44,19,21.415555555555557,0,4602,0.5400140812015959
822389,2026-01-20,60.292,224.76666666666668,16.09,12,19.976111111111113,1,7094,0.5260269909535815
795860,2026-01-20,22.972,83.88333333333334,16.43,3,20.39138888888889,0,824,0.16371945161931253
824466,2026-01-20,7.987,42.916666666666664,11.17,3,0.6516666666666666,0,626,0.24310679611650485
