vehicle_id,date,distance_km,driving_duration_min,avg_speed,stop_count,stop_duration_hours,harsh_cornering_count,excessive_idling_duration,idling_ratio
733655,2026-01-29,21.091,34.35,36.84,3,8.080555555555556,1,0,0.0
795852,2026-01-29,26.824,71.18333333333334,22.61,5,11.339722222222223,1,0,0.0
821937,2026-01-29,138.187,377.95,21.94,19,7.826944444444444,4,3722,0.16413105790007496
822011,2026-01-29,97.609,291.1166666666667,20.28,11,9.211666666666666,2,6554,0.3752218469113185
821540,2026-01-29,40.576,174.65,13.94,9,10.402777777777779,0,2798,0.26701021089798643
822319,2026-01-29,49.767,99.01666666666667,30.16,9,12.351666666666667,1,3152,0.5305504123884868
822292,2026-01-29,44.896,119.53333333333333,22.54,8,12.105277777777777,0,1106,0.15421081985499163
821509,2026-01-29,96.19,314.9166666666667,18.33,7,8.931944444444444,1,2407,0.1273881979359619
822389,2026-01-29,95.432,311.3666666666667,18.39,12,8.158055555555556,0,3671,0.19649930414302538
795860,2026-01-29,9.875,54.61666666666667,10.85,3,7.923611111111111,0,272,0.08300274641440342
