vehicle_id,date,distance_km,driving_duration_min,avg_speed,stop_count,stop_duration_hours,harsh_cornering_count,excessive_idling_duration,idling_ratio
733655,2026-01-26,35.585,80.48333333333333,26.53,4,14.804722222222223,1,0,0.0
795852,2026-01-26,9.052,20.516666666666666,26.47,2,7.1525,2,0,0.0
822588,2026-01-26,109.028,337.3833333333333,19.39,13,9.08388888888889,1,3715,0.1835202292150373
821937,2026-01-26,160.016,483.6166666666667,19.85,16,7.935277777777777,11,4591,0.1582175965813144
822011,2026-01-26,117.739,355.5833333333333,26.39,13,8.546388888888888,0,3851,0.18050152331849073
821540,2026-01-26,162.202,405.01666666666665,24.03,14,9.378333333333334,0,5743,0.23632772313896547
822319,2026-01-26,23.964,72.25,19.9,5,9.068888888888889,0,0,0.0
822292,2026-01-26,59.96,191.96666666666667,18.74,14,12.884444444444444,1,3208,0.27852057648897377
821509,2026-01-26,151.436,492.8333333333333,18.44,14,7.831666666666667,1,4289,0.14504565437943862
822389,2026-01-26,184.32,498.8333333333333,22.17,17,7.6177777777777775,0,7553,0.2523554961577013
795876,2026-01-26,37.081,91.3,24.37,5,13.928333333333333,0,1734,0.31653888280394304
795860,2026-01-26,48.82,125.16666666666667,23.4,5,14.05888888888889,3,122,0.016245006657789614
