vehicle_id,anomaly_days_7d,mean_anomaly_score_7d,consecutive_days_anomaly,risk_score,risk_level
733655,0,0.0103242396477691,0,0.0030972718943307297,OK
795852,0,0.08899148426100359,0,0.026697445278301077,OK
795860,1,0.026875647218262702,1,0.7080626941654788,OK
821509,0,0.0980194225451981,0,0.02940582676355943,OK
821540,0,0.0730812161686069,0,0.02192436485058207,OK
821937,0,0.09723598079232765,0,0.02917079423769829,OK
822011,0,0.1352704314244906,0,0.04058112942734718,OK
822292,1,0.0495822461053688,1,0.7148746738316107,OK
822333,0,0.0720677606154838,0,0.021620328184645137,OK
822389,2,-0.023094839952770653,2,1.4069284519858312,OK
822588,0,0.12166963185044626,0,0.03650088955513388,OK
