vehicle_id,anomaly_days_7d,mean_anomaly_score_7d,consecutive_days_anomaly,risk_score,risk_level
733655,0,0.0131395513905896,0,0.00394186541717688,OK
795852,0,0.09148162081933675,0,0.027444486245801026,OK
795860,1,0.026876078822059803,1,0.708062823646618,OK
821509,0,0.07973762299295656,0,0.023921286897886966,OK
821540,0,0.10379964758051505,0,0.031139894274154513,OK
821937,1,0.04739094824303355,1,0.71421728447291,OK
822011,0,0.0308337657704295,0,0.00925012973112885,OK
822292,1,0.0681306940029668,1,0.7204392082008901,OK
822319,0,0.0828723747057481,0,0.02486171241172443,OK
822389,1,0.0349566065569625,1,0.7104869819670887,OK
822588,0,0.1418249724116205,0,0.04254749172348615,OK
